variant,alpha,mu,a,m0,steps,final_M,final_Xi,regime,blowup_step
two_scale,0.0037275937,0.001,8,20,120,1e+09,1e+09,explosive,17
two_scale,0.0037275937,0.0019306977,8,20,120,1e+09,1e+09,explosive,18
two_scale,0.0037275937,0.0037275937,8,20,120,1e+09,1e+09,explosive,18
two_scale,0.0037275937,0.0071968567,8,20,120,1e+09,1e+09,explosive,19
two_scale,0.0037275937,0.013894955,8,20,40,1e+09,1e+09,explosive,21
two_scale,0.0037275937,0.026826958,8,20,40,1e+09,1e+09,explosive,27
two_scale,0.0037275937,0.051794747,8,20,40,15.752924,1.6752549,plateau,
two_scale,0.0037275937,0.1,8,20,40,1.6742394,0.66201928,plateau,
two_scale,0.01,0.001,8,20,120,1e+09,1e+09,explosive,9
two_scale,0.01,0.0019306977,8,20,120,1e+09,1e+09,explosive,9
two_scale,0.01,0.0037275937,8,20,120,1e+09,1e+09,explosive,9
two_scale,0.01,0.0071968567,8,20,120,1e+09,1e+09,explosive,9
two_scale,0.01,0.013894955,8,20,40,1e+09,1e+09,explosive,9
two_scale,0.01,0.026826958,8,20,40,1e+09,1e+09,explosive,10
two_scale,0.01,0.051794747,8,20,40,1e+09,1e+09,explosive,11
two_scale,0.01,0.1,8,20,40,1e+09,1e+09,explosive,17
two_scale,1e-05,0.001,8,50,40,49.300049,0.064841654,plateau,
two_scale,1e-05,0.0019306977,8,50,40,47.408462,0.059132069,plateau,
two_scale,1e-05,0.0037275937,8,50,40,43.984759,0.050388043,plateau,
two_scale,1e-05,0.0071968567,8,50,40,38.109115,0.039018238,plateau,
two_scale,1e-05,0.013894955,8,50,40,28.948585,0.027181716,plateau,
two_scale,1e-05,0.026826958,8,50,40,17.013969,0.017392544,plateau,
two_scale,1e-05,0.051794747,8,50,40,6.002409,0.010463708,plateau,
two_scale,1e-05,0.1,8,50,40,0.74378128,0.006012888,plateau,
two_scale,2.6826958e-05,0.001,8,50,40,51.885867,0.19749971,exponential,
two_scale,2.6826958e-05,0.0019306977,8,50,40,49.667684,0.17724617,plateau,
two_scale,2.6826958e-05,0.0037275937,8,50,40,45.771316,0.14758199,plateau,
two_scale,2.6826958e-05,0.0071968567,8,50,40,39.326455,0.11118748,plateau,
two_scale,2.6826958e-05,0.013894955,8,50,40,29.626424,0.075556882,plateau,
two_scale,2.6826958e-05,0.026826958,8,50,40,17.300773,0.047546971,plateau,
two_scale,2.6826958e-05,0.051794747,8,50,40,6.0793089,0.028349245,plateau,
two_scale,2.6826958e-05,0.1,8,50,40,0.75184095,0.016214532,plateau,
two_scale,7.1968567e-05,0.001,8,50,40,69.656026,1.1006896,precursor-active,
two_scale,7.1968567e-05,0.0019306977,8,50,40,61.972239,0.81309475,precursor-active,
two_scale,7.1968567e-05,0.0037275937,8,50,40,53.552019,0.56514743,exponential,
two_scale,7.1968567e-05,0.0071968567,8,50,40,43.71292,0.3677066,plateau,
two_scale,7.1968567e-05,0.013894955,8,50,40,31.759332,0.2261741,plateau,
two_scale,7.1968567e-05,0.026826958,8,50,40,18.13446,0.13465963,plateau,
two_scale,7.1968567e-05,0.051794747,8,50,40,6.2944169,0.078162134,plateau,
two_scale,7.1968567e-05,0.1,8,50,40,0.77402784,0.044117817,plateau,
two_scale,0.00019306977,0.001,8,50,40,1e+09,1e+09,explosive,19
